ids,datetime,likes,shares,comments,likes_reactions,reactions,total,chars_count,words_count,message,date,unique_comments
79770243223_10153691497408224,2016-04-25 10:29:19,808,35,6,819,11,860,2630.0,181.0,"Two events this past weekend - the Technovation Cambodia National Pitch  and #Fishackathon 2016 - showed people in #Cambodia and around the world how #technology can be used to make positive changes globally.

Hosted by USAID Cambodia's Development Innovations project, the Technovation Cambodia National Pitch featured 14 talented teams of young women aged 10-18 who identified community problems, built mobile apps to address their key issues, designed business plans and pitched their ideas to a panel of judges representing the U.S. Embassy, the Ministry of Education, Youth and Sport, Digital Mobile Innovations, and Development Innovations Cambodia. More than 500 students, tech professionals, and supporters were in attendance. Congratulations to all of this year's teams!

In its third year, Fishackathon  sponsored by the U.S. Department of State  is now a worldwide event that connects science and computer programming with addressing threats to sustainable fishing. Coders, technologists, and designers from over 40 cities internationally spent the weekend developing usable solutions to problems that the world's fisheries are facing today. To learn more, please visit http://www.fishackathon.co/.

    Fishackathon 2016     

  USAID                   Digital Mobile Innovations  Development Innovations        !

   Fishackathon               http://www.fishackathon.co/",2016-04-25,6.0
79770243223_10150634532673224,1969-06-15 07:00:00,23,11,0,23,0,34,348.0,27.0,"Montana Senator Mike Mansfield offers a bouquet of flowers to Princess Bopha Devi and Prince Sihamoni. The senator and his wife visited Cambodia in 1969.

 Mike Mansfield  Montana         ",1969-06-15,
79770243223_10150404809708224,2011-12-05 04:03:10,104,15,13,104,0,132,136.0,9.0,"POSITION: Supply Clerk/Sub-Cashier

CLOSING DATE: December 15, 2011

More info: http://cambodia.usembassy.gov/job_supply_clerk2.html",2011-12-05,13.0
79770243223_10151591561908224,2013-07-04 03:34:57,919,57,37,919,0,1013,102.0,10.0,"Happy Fourth of July!

The United States turns 237 years old today!

 !",2013-07-04,35.0
79770243223_10152367410473224,2014-08-05 09:58:42,157,4,1,157,0,162,406.0,58.0,"Super-size portions, Native American Indian reservations and a respect for the environment were all part of an eye-opening trip to the US recently undertaken by local translator and tour guide Chhon Chhea Yut.  Phnom Penh Post, August 1, 2014

Read the whole story about Chhon Chhea Yuts visit to the United States with our Professional Fellows Economic Empowerment Program here: http://goo.gl/6hLgdp 
",2014-08-05,1.0
79770243223_10152185209103224,2014-05-06 02:32:05,291,22,9,291,0,322,338.0,36.0,"Blogging enables anyone with a computer and an Internet connection to share their thoughts with the world.

If you were to start a blog, what topic would you choose?

Click the link below for some tips about blogging.
http://photos.state.gov/libraries/amgov/133183/english/Freedom_of_Expression_Starting_and_Maintaining_a_Blog_English.pdf",2014-05-06,8.0
79770243223_118596614849393,2010-06-02 09:19:33,0,0,0,0,0,0,614.0,42.0,"On the evening of May 13th, 2010 the Los Angeles-based band Dengue Fever performed for nearly 10,000 fans in the park near Wat Botum in the center of Phnom Penh.

Read More: http://cambodia.usembassy.gov/dengue_fever_concert_may_2010.html

Go to Youtube to watch the concert video.

      Los Angeles  Dengue Fever       

 http://khmer.cambodia.usembassy.gov/dengue_fever_concert_may_2010.html

  Youtube",2010-06-02,
79770243223_10151295029148224,2013-01-13 03:51:51,349,11,7,349,0,367,854.0,92.0,"Ambassador Todd answers the questions on inter-country adoption. Click the link below to read:

(English) http://www.thecambodiaherald.com/opinion/detail/3?token=N2E3YTIzZWE2YmI2OWNjYjM3MTlkODhiOWIzNmFl

() http://www.cen.com.kh/localnews/show_detail/135?token=YzRmZWY2YThhOTI3NmE2NjEwYzhjZTVmZmE4YjEy#sthash.noLRct4w.jPhrvShJ.dpbs

Ambassador Todd: ""...Ideally, we believe the best place for a child is with his or her parents, or with extended family members.

If this is not possible, however, we believe adoptions should be available to ensure children have an opportunity to grow up in a family setting.

Since 2008, the United States has worked within the framework of the Hague Convention whenever considering any inter-country adoption. We do this to safeguard the interests of children, birth parents, and adoptive parents...""",2013-01-13,7.0
79770243223_353615481365186,2012-05-06 11:56:20,80,2,10,80,0,92,317.0,42.0,"For American citizens:

The US Embassy in Phnom Penh will be offering the Foreign Service Officer test (FSOT) on June 2, 2012.

Deadline for candidates intending to test overseas to submit completed Registration is May 21, 2012, CST.

Click the link below for more information.
http://cambodia.usembassy.gov/fsot.html",2012-05-06,6.0
79770243223_10151726253438224,2013-09-12 09:08:44,320,11,10,320,0,341,420.0,51.0,"This week, U.S. and Cambodian armed forces are conducting Pacific Angel, a humanitarian assistance and disaster relief engineering exercise.

Read more:
http://www.pacaf.af.mil/news/story.asp?id=123362688

Staff Sergeants Maynard Foster and Jason Leal, plumbers from the U.S. 18th Civil Engineer Squadron, covered water pipes as they repair and enhance plumbing systems at three health clinics during Pacific Angel.",2013-09-12,10.0
79770243223_10150634538138224,2008-05-15 07:00:00,25,1,0,25,0,26,709.0,54.0," Anthony Barlow      

         
          

Petty Officer 3rd Class Anthony Barlow takes vital signs of a monk at a provisional medical clinic in Thmar Pouk, Bomteay Meanchey, during the Cambodia Interoperability Program.

From April 26 to May 5, 2008, 24 sailors and Marines worked with two civilian doctors, a Cambodian eye surgeon, and a U.S. Public Health Service Dentist.",2008-05-15,
79770243223_140166889337742,2010-07-27 10:05:20,0,0,0,0,0,0,384.0,58.0,"This is the fifth Global Peace Operations Initiative capstone exercise since 2006 and the first time such an event has been conducted in Cambodia. The exercise is co-sponsored by the Royal Cambodian Armed Forces, U.S. Army Pacific and U.S. Pacific Command and aims to build the participants' capability, capacity, and effectiveness for planning and executing peace support operations.",2010-07-27,
79770243223_10151303491198224,2013-01-18 14:27:45,714,10,24,714,0,748,98.0,1.0, Todd      ,2013-01-18,23.0
79770243223_200038500021573,2011-02-21 02:20:54,13,0,5,13,0,18,52.0,,"U.S. Embassy Phnom Penh, Cambodia shared their note.",2011-02-21,5.0
79770243223_10151856639453224,2013-11-14 07:19:26,99,4,1,99,0,104,530.0,56.0,"The salvage ship USS Safeguard (ARS-50) completed a highly successful dive exercise with counterparts from the Royal Cambodian Navy (RCN).

The dive exercise is part of the Cooperation Afloat Readiness and Training (CARAT) exercisea five-month-long bilateral exercise series between U.S. Navy and its naval counterparts from Bangladesh, Brunei, Indonesia, Malaysia, the Philippines, Singapore, Thailand, and Timor-Leste.

Read more: http://mscsealift.dodlive.mil/2013/11/05/safeguard-team-completes-dive-exercise-in-cambodia/",2013-11-14,1.0
79770243223_10153006916423224,2015-05-29 03:36:58,540,19,1,540,0,560,1025.0,73.0,"    Sheri-Nouane-Jones   USAID        Facebook        http://bit.ly/1HlstTv

On May 21, Ms. Sheri-Nouane Duncan-Jones, Director of USAID Cambodias Office of Public Health and Education joined the Cambodian government to launch Cambodias first mobile health platform designed to reach individuals at risk of HIV.  The platform features a mobile phone interactive voice response system, interactive web sites and Facebook pages to provide potentially life-saving HIV-related information and services to underserved populations.  See photos here http://bit.ly/1HlstTv
#USAID #Cambodia #HIV #AIDSFreeGen",2015-05-29,1.0
79770243223_10153999019003224,2016-09-07 10:31:19,1317,153,31,1353,36,1537,3588.0,646.0,"UPDATE: The transcript of Sophanna's question and President Obama's answer is included below.

Congratulations to Cambodian #YSEALI member Sophanna, who was picked by President Obama to ask a question during the Presidents YSEALI Town Hall this afternoon in Luang Prabang, Laos. Sophanna asked the President about which of the 17 Sustainable Development Goals is most important. You can see the Presidents answer (ending poverty)  and the entire Town Hall  by following this link: https://www.whitehouse.gov/live/president-obama-holds-yseali-town-hall-0.

PRESIDENT OBAMA:  Okay.  So, Cambodia, we have somebody from Cambodia?  Right here, this young man.  By the way, everybody looks very good in their native clothes.  Those of you who are just wearing shirts, you look good too.  (Laughter.)  But I appreciate how nice everybody looks today.  Go ahead.
 
Q    Thank you, Mr. President.  And actually my question was taken by one of the fellows, so I just start with the second question.  If the 17 goals of the SDG were implemented in the United States, which goals should be the top priority, and why is it?  And how you got to deal with it?  Thank you.  (Applause.)
 
PRESIDENT OBAMA:  That's a good question.  So for those of you who didn't hear the question, SDG is the Sustainable Development Goals that were an update on the original set of goals.  Keep in mind how much progress we've made on those goals over the last 20 years.
 
The number of people who we've seen rise out of extreme poverty, the number of people who are now able to have enough to eat, the reduction in infant mortality has been remarkable.  So we've made real progress.  Worldwide, people are much better off now than they were just 20 years ago, and I think we can make similar progress going forward.
 
I've actually asked our teams to look at where in these Sustainable Development Goals do we have work to do in the United States?  And although we're still evaluating that, I would say that the areas where we still fall short are -- there are still too many children in poverty in the United States.  Now, they're not suffering extreme poverty of the sort that you see in parts of India or China or Laos or Cambodia, but we have children who are very poor and who still aren't getting enough to eat.  That is also connected to education.  And we still have a lot of children in a country so wealthy that on a day-to-day basis are not getting the kinds of educational opportunities that they deserve.
 
So I would say that the way forward for us involves addressing those pockets of poverty, and starting with kids.  And we have enough wealth to do it.  The question is whether we have the political will to make the investments in these communities, many of which are in inner cities.  Oftentimes they are poor African American or Latino who are still held back historically by discrimination.  And sometimes it's harder to get the society as a whole to invest in these kids.
 
But if we're going to be successful, we're going to have to do it.  This goes to a question that was asked earlier -- the United States, by the year 2050 -- which is only 35 years from now -- will no longer be a majority-white country -- think about that -- because the birth rates for particularly people of Hispanic background, but also Asians, in American, is much faster, much higher. 
 
So if those kids today who are poor aren't provided opportunity, our society as a whole is going to be poorer, because that's going to be the workforce of the future.  And that's where I think we have to make the most progress.",2016-09-07,28.0
79770243223_10151124774293224,2012-09-12 15:09:31,171,6,5,171,0,182,423.0,58.0,"Ambassador Todd: ""...There is no question that language is an essential and cherished part of a communitys culture and is something vital to preserve.

I am very proud that the U.S. Embassy is playing a role in helping Cham Muslims experience the joy of reading and writing in their own native tongue.""

To read Ambassador Todd's blog, click the link below.
http://blogs.usembassy.gov/todd/2012/09/12/cham-engagement/",2012-09-12,5.0
79770243223_10153873404068224,2016-07-18 10:18:46,858,53,2,866,8,921,2279.0,168.0,"Wildscan      USAID  Wildlife Alliance  Freeland    

Wildscan - a mobile app used to help in the fight against illegal wildlife trading - recently launched in #Cambodia with Khmer translation. USAID Cambodia, Wildlife Alliance and Freeland  organized a launch event at the Phnom Tamao Wildlife Rescue Centre, giving participants the chance to test the new app's features.  

             Wildscan      

I think that having WildScan in Khmer will benefit law enforcement in the country, said Khem Vuthyravong, Project Manager for Wildlife Alliances Wildlife Rapid Rescue Team, which has rescued over 62,000 live animals from the wildlife trade since 2001. It is easy to use, allowing for everyone to quickly identify a range of different animals.
 
Wildscan  Adroid  Iphone               http://freeland.org//wildlife-identification-app-launches/  

WildScan  available on both Android and Apple mobile devices  has been downloaded more than 1,000 times and is available in six Southeast Asian languages, with more to be added in the future. With information and photos for more than 500 animals and products, the app can also be used as an effective education tool. Learn more by visiting http://freeland.org/press-releases/wildlife-identification-app-launches-cambodia/.",2016-07-18,2.0
79770243223_10151152489493224,2012-10-04 06:38:48,189,23,9,189,0,221,632.0,70.0,"POSITION: Project Management Assistant

CLOSING DATE: October 15, 2012

More info: http://cambodia.usembassy.gov/job1.html

QUALIFICATIONS REQUIRED:
. Bachelors degree in Business Administration, Business Management, Accounting, Finance, Social or Political Science, Education, Public or International Affairs.

. A minimum of three (3) years of experience in program/project management in development and/or budget and administration with U.S. Agency or other international / local organization or donor.

. Level IV (Fluent) Speaking/Reading/Writing English and Khmer are required. Language proficiency will be tested.",2012-10-04,9.0
79770243223_10151136564588224,2012-09-22 05:10:48,346,6,16,346,0,368,205.0,5.0," Tony     Google Map Maker 

 https://picasaweb.google.com/106739195343586325665/PresentationOnGoogleMapMaker",2012-09-22,14.0
79770243223_10152581937603224,2014-11-14 11:00:01,781,52,14,781,0,847,3665.0,564.0,"Preserving History at Phnom Kulen
- From the Ambassador's Penh

Cambodia is known around the world for its amazing cultural patrimony, from archaeological sites to traditional folklore to Apsara Dance.  The U.S. government is a proud supporter of cultural heritage in Cambodia, particularly through the Ambassadors Fund for Cultural Preservation Program (AFCP).  Since 2001, Cambodia has received 16 AFCP grants totaling more than $2.3 million, which puts it in second place worldwide (after only Afghanistan).  That is a testament not only to Cambodias extraordinary cultural heritage but also to the many great partners that we work with, including the Ministry of Culture and Fine Arts, UNESCO, and many cultural institutions and NGOs.

One of our most recent AFCP projects is the mapping, documentation, and preservation of Angkorian sites on Phnom Kulen.  The project is being carried out by the Archaeology and Development Foundation  (ADF) in cooperation with the APSARA National Authority and the Ministry of Environment.  The project is led by Dr. Jean-Baptiste Chevance, who is working with an amazingly talented team of Cambodian archaeologists and workers.
Phnom Kulen is a sandstone plateau located 40 kilometers northeast of the Angkor Archaeological Park and Siem Reap town that has been considered sacred for at least a thousand years.  Phnom Kulen is famous today for the Preah Ang Thom pagoda and its reclining Buddha.  The area remained largely unexplored for a long period of time and contains a myriad of significant archaeological remnants  from sculpted riverbeds and caves to ancient waterworks and temples.

Since 2008, ADF has been carrying out a systematic archaeological study and mapping project.  In 2012, ADF began to use an airborne laser scanning technology called LiDAR with the help of the University of Sydney.  Using LiDAR, ADF was able to uncover an unprecedented urban network, confirming the existence of Mahendraparvata, the renowned capital of Jayavarman II that dates to the 9th century.  The U.S. governments AFCP grant has helped ADF to complete the inventory of previously unknown features and to protect the sites from destructive agricultural practices.  
In addition to preserving cultural heritage, AFCP programs also help to build local expertise.  Thanks to the Phnom Kulen project, ADF has been able to train five Cambodian archaeologists in ground surveying techniques and in the use of LiDAR and Global Positioning Satellites.  Cambodian staff also play a crucial role in building awareness by local residents about the work that is being done and how it supports their communities.

An ongoing challenge that conservationists face at Phnom Kulen (and elsewhere) is the threat of deforestation.  At Phnom Kulen National Park, only 20 percent of the original forest cover remains  much of the rest has been turned into cashew nut plantations.  This not only damages the environment, but it also destroys important archaeological evidence.  Illegal logging is also a continuing challenge to conservation efforts.  Considering Phnom Kulens cultural and scientific value, it is essential that we look for solutions to protect the resource, including alternative agricultural practices and tourism development.

I am extremely proud that the U.S. government is playing an important role in the study and preservation of Phnom Kulen, and we look forward to supporting new cultural preservation projects in the years to come.  

Photo:  ADF archaeologist Sakhoeun Sakada in Phnom Kulen National Park.

Read more from Abassador Todd's blog - The Ambassador's Penh, here http://blogs.usembassy.gov/todd/

#AmbTodd",2014-11-14,11.0
79770243223_211510089394,2009-12-18 07:51:46,12,0,7,12,0,19,45.0,7.0,U.S. Embassy sealed-bid Property Sale of 2009,2009-12-18,7.0
79770243223_158091270885298,2010-09-30 03:39:13,9,0,1,9,0,10,254.0,39.0,"The U.S. Embassy in Phnom Penh is seeking an individual for the position of Project Development Specialist for the Office of General Development (OGD) of the United States Agency for International Development (USAID).

Click the link below to learn more.",2010-09-30,1.0
79770243223_10152738753213224,2015-01-21 07:00:01,1013,17,9,1013,0,1039,120.0,12.0,Being young is a strength.  Learn about the United States youngest congresswoman! #EliseStefanik http://goo.gl/tmH7BV,2015-01-21,9.0
79770243223_10151449864698224,2013-04-02 08:59:51,134,7,2,134,0,143,510.0,67.0,"Environmentally sustainable cities in ASEAN are featured in the latest installment on InnovASEAN, including highlights from the 4th High Level Seminar on Environmentally Sustainable Cities in Hanoi, Vietnam.

The blog can be found at http://asean.usmission.gov/

InnovASEAN is a blog dedicated to the application of science, technology, and innovation to ASEANs challenges and opportunities.

It is maintained by the U.S. Mission to ASEAN, and moderated by Dr. Montira Pongsiri, the Missions Science Advisor.",2013-04-02,2.0
79770243223_10153299159888224,2015-10-16 04:53:07,0,0,0,0,0,0,78.0,,"U.S. Embassy Phnom Penh, Cambodia likes People Improvement Organization (PIO).",2015-10-16,
79770243223_10150386149828224,2011-11-25 13:27:56,168,2,10,168,0,180,260.0,18.0,"Click the link below for more photos of the Dengue Fever's Electric Mekong Tour in Cambodia.

https://picasaweb.google.com/106739195343586325665/DengueFeverSElectricMekongTourInCambodia

 link   Dengue Fever ",2011-11-25,8.0
79770243223_10153590902008224,2016-03-18 10:02:48,668,18,4,674,6,696,680.0,99.0,"The Young Southeast Asian Leaders Initiative (#YSEALI) Generation: Oceans regional workshop is off to a great start in Jakarta, Indonesia. Five YSEALI members from #Cambodia - Eng Phearum, Im Chanbormey, Mech Sereyrath, Suos Imsouchivy and Ouk Channita - have come together with other YSEALI members from all 10 ASEAN nations to share their ideas for healthier oceans and waterways. During the five-day workshop, mentors from Southeast Asia and the United States will lead discussions on topics such as oceanic biodiversity, maritime commerce, and sustainable tourism.  To find out more about the event, visit http://www.culturalvistas.org/yseali/. 

Photo credit: Cultural Vistas",2016-03-18,4.0
79770243223_10153517746743224,2016-02-16 04:37:13,3861,550,47,3858,-3,4455,1431.0,85.0,"The 2016 U.S.-ASEAN Leaders Summit  the first ever hosted in the United States  began today in Sunnylands, California. President Obama welcomed Prime Minister Hun Sen and the nine other #ASEAN leaders to this historic two-day event, stating in his introductory remarks that the summit reflects the United States commitment to a strong and enduring partnership with ASEAN member nations individually and Southeast Asia as one region.  For President Obama's full remarks from the summit's opening session, please visit https://www.whitehouse.gov/the-press-office/2016/02/15/remarks-president-obama-opening-session-us-asean-summit. 
#USASEAN2016 #Sunnylands

      Sunnylands  California  Obama               Obama   https://www.whitehouse.gov/the-press-office/2016/02/15/remarks-president-obama-opening-session-us-asean-summit 

(Photo Credit: AP Images)",2016-02-16,42.0
79770243223_10153244914828224,2015-09-15 05:01:16,263,39,9,263,0,311,621.0,97.0,"Are you savvy with social media? Do you like sharing engaging photos and videos with other young people?  Now is your chance to become a Digital Delegate at the next #YSEALI Summit taking place November 19-23 in Kuala Lumpur, Malaysia!  One YSEALI member from each of the 10 ASEAN countries country will be given an opportunity to participate in the event and share real-time coverage of the summit on Facebook, Twitter, Instagram, YouTube.  YSEALI members must apply by September 22.  To submit your application, go to http://www.bit.ly/YSEALIDD.  And to join YSEALI, go to https://youngsoutheastasianleaders.state.gov",2015-09-15,8.0
79770243223_121929307818033,2010-04-29 07:46:56,3,0,1,3,0,4,1358.0,230.0,"Cambodian Acid Survivors Charity is an INGO registered in the U.S. which is committed to empowering and supporting survivors of acid burns and eliminating acid violence through legal reform and preventative education.  The center for acid attack victims is located in Srok Angk Snuol, Kandal Province, on a dirt road adjacent to the Bridgestone tire factory on Hwy 4.  The Cambodian Acid Survivors Charity (CASC) was established in 2006 by its sister organization, The Childrens Surgical Center, in response to a growing number of acid burn survivors seeking treatment at the center.  CASC is the only organization in Cambodia dealing exclusively with the issue of acid burns and acid attacks.  Using a holistic approach, they work at several levels to support and empower survivors of acid burns, as well as towards the elimination of acid violence altogether.  According to Ziad Samman, the CASC coordinator, in Cambodia there are currently around 233 acid attack survivors on the national registry.  Last year alone there were 28 acid attacks resulting in 33 victims.  While this number is alarming, Mr. Ziad feels that the number may be far greater and possibly as high as over 100 per year.  If you, or anyone you know is suffering from an acid attack, please contact the CASC Emergency Hotline number  at 092-600-031.  All services are free of charge.",2010-04-29,1.0
79770243223_10152369054893224,2014-08-06 03:58:32,598,25,9,598,0,632,110.0,4.0,"  http://goo.gl/QZVedb  

   


",2014-08-06,9.0
79770243223_10151681984253224,2013-08-20 06:24:42,311,90,8,311,0,409,188.0,28.0,"50 years ago Martin Luther King Jr. delivered his I Have a Dream speech on the steps of the Lincoln Memorial.

Watch this video: http://goo.gl/DIYxPD and share your dream using #IDream",2013-08-20,7.0
79770243223_10154036601703224,2016-09-23 05:23:08,626,49,5,633,7,687,2012.0,132.0," Innovation Lab   Development Innovations   USAID          

The newly renovated Innovation Lab at the USAID Cambodia Development Innovations Cambodia center in Khan Chamkarmon is now open to help #Cambodia's civil society and student groups learn #STEM-based skills and find modern solutions to challenges in the digital age.  

 Innovation Lab         

The Innovation Lab and its team of tech advisers provide assistance with information and communication technologies to strengthen socioeconomic development, international development, and human rights. Student groups working on tech-based projects are also welcome to visit the lab for training and guidance.

   

Video production, social media training, and basic technology services are just some of the training courses held in the modern work space.

 ?   http://www.development-innovations.org/advisory-service/ 

Is your group interested in getting help with a computer project or utilizing new technology? Visit Development Innovations on Facebook or follow this link: http://www.development-innovations.org/advisory-service/.",2016-09-23,5.0
79770243223_10151981911663224,2014-01-17 10:00:01,196,7,0,196,0,203,291.0,34.0,"MTV Exit, a partner of USAID, recently organized a free concert for 4,000 people in Battambang to raise awareness on human trafficking.  

See more photos of the events here:

https://www.facebook.com/media/set/?set=a.10151722757501706.1073741842.7502261705&type=3

(Photo credit:  MTV Exit)",2014-01-17,
79770243223_10153437913068224,2016-01-04 10:39:58,2428,3373,136,2442,14,5951,1864.0,141.0," """"                    OneBeat  

 """"         !

Check out ""'Tis Minnesota"" - the latest music video by Cambodian composer, singer, and musician Young Yorn! Born in Kampong Thom, Yorn plays traditional Khmer music and has been involved with the arts in Cambodia for more than ten years, working with organizations like the Department of Fine Arts & Culture in Phnom Penh and the Apsara Arts Association. He is also an alumnus of the U.S. Department of State's OneBeat Program, which brings together musical leaders from around the world to develop a global network of civically engaged music initiatives.

In ""'Tis Minnesota,"" Yorn sings about his experience visiting the U.S. state of Minnesota. He has also composed music about his time in Florida and New York. Today, Yorn continues to share his music with the world, performing in many festivals in Cambodia, the United States, and beyond. Congratulations Yorn!",2016-01-04,124.0
79770243223_10153034973283224,2015-06-10 03:09:01,1000,80,3,999,-1,1082,480.0,36.0,"  (Student Government)    Bill Clinton !  ? ?

Student government is one of the best ways to earn valuable leadership experience. Just ask Bill Clinton! Have you held a leadership position at your school? What did you learn from it? https://goo.gl/WbIpKp
ShareAmerica",2015-06-10,3.0
79770243223_10151977098278224,2014-01-14 12:30:00,245,7,11,245,0,263,643.0,114.0,"If you are a fan of magic, you may enjoy this story and photos from Karen Reed, Fulbright Scholar who is teaching an undergraudate  nursing program in Kampot Province. 

My husband Lee has been using magic tricks as educational tools at the school where he volunteers his time teaching English.  Ahead of the schools New Years celebration, Lee taught a student how to do a rather nice trick.  The two practiced together and had an entire routine down.  During the show on New Years Eve, the student successfully made a ball float in air on stage.  The kids in the audience went wild and the young magician is now a hero among his friends.",2014-01-14,11.0
79770243223_10153685146678224,2016-04-22 04:18:57,381,19,4,386,5,409,1147.0,95.0,"""Few artists have influenced the sound and trajectory of popular music more distinctly, or touched quite so many people with their talent."" - President Obama on the Passing of Prince, go.wh.gov/pwk91h

The world lost a unique voice and a great talent today with the sudden death of the legendary musician and ""creative icon"" #Prince. Please join us in celebrating the life and legacy of this phenomenal entertainer.

Here's a look at Prince's unforgettable Super Bowl XLI Halftime Show from 2007 in Miami, Florida, where he performed in the #PurpleRain: https://youtu.be/7NN3gsSf-Ys.

#PrinceRIP

 Obama  Prince    

    Prince / 

 Prince     Miami  Florida  #PurpleRain:https://youtu.be/7NN3gsSf-Ys",2016-04-22,4.0
79770243223_300039573414573,2012-05-09 11:06:32,101,6,4,101,0,111,271.0,5.0,"Watch this video!

  ""An Inconvenient Truth""   

    

http://youtu.be/9_5Xc917NHY",2012-05-09,4.0
79770243223_10151668891043224,2013-08-13 13:46:46,341,70,9,341,0,420,252.0,2.0,"-   TechCamp   

   link 
http://techcampphnompenh.wordpress.com/",2013-08-13,6.0
79770243223_10152269463488224,2014-06-17 11:00:00,1690,343,36,1690,0,2069,796.0,56.0,"   

  link 
http://ibec.worlded.org/Life%20Skill%20Manuals/Life_Skill_Manual.html

     (IBEC)  USAID 

To help young Cambodians gain practical skills, USAIDs Improved Basic Education in Cambodia Project (IBEC) developed a set of teaching manuals that cover job training, livelihood skills, and youth-relevant social issues.  These manuals were created in cooperation with Cambodias Ministry of Education, Youth and Sport.

See more about these innovative educational tools on IBECs website: 

http://ibec.worlded.org/Life%20Skill%20Manuals/Life_Skill_Manual.html",2014-06-17,35.0
79770243223_10152289683358224,2014-06-27 13:00:01,714,33,7,714,0,754,635.0,93.0,"As part of Pacific Partnership 2014, U.S. Navy physical therapists worked with patients at a local physical rehabilitation clinic in Phnom Penh this week.  In the photo below, Lt. Matthew Bush assists a patient during a walking exercise.  

I really enjoy the one-on-one interaction we get with the patients in physical therapy, said Lt. Bush. To be able to practice and help patients in another country is another experience entirely.

Pacific Partnership, led by the U.S. Navy Pacific Fleet, is the largest annual multilateral humanitarian assistance and disaster relief preparedness mission conducted in the Asia-Pacific region.",2014-06-27,7.0
79770243223_10152468872993224,2014-09-19 13:00:00,795,31,10,795,0,836,235.0,37.0,What we do as individuals will ultimately make the difference. Some acts are simple. Don't throw trash into waterwaysVolunteer at least one day a year to clean beaches or waterways in your community. -  Secretary of State John Kerry,2014-09-19,9.0
